Id;Area
1;0.807
2;1.407
3;1.177
4;1.289
5;1.743
6;1.425
7;2.553
8;0.968
9;1.430
10;0.722
11;1.235
12;1.058
13;1.342
14;1.207
15;1.682
16;1.474
17;1.997
18;1.187
19;2.082
20;2.877
21;1.386
22;1.176
23;0.960
24;1.147
25;1.020
26;1.249
27;1.704
28;1.602
29;1.303
30;1.707
31;2.264
32;1.233
33;0.840
34;1.105
35;1.343
36;0.811
1;2.030
2;1.844
3;2.266
4;1.472
5;1.009
6;1.851
7;0.941
8;2.252
9;1.269
10;1.082
11;1.065
12;1.995
13;2.063
14;0.969
15;1.389
16;1.721
17;1.355
18;1.178
19;1.529
20;1.371
21;1.423
22;2.756
23;0.854
24;0.811
25;0.690
26;1.752
27;0.978
28;1.108
29;1.149
30;0.994
31;1.594
1;1.492
2;1.322
3;1.564
4;1.290
5;1.057
6;1.193
7;1.413
8;1.477
9;2.210
10;1.270
11;1.865
12;1.088
13;2.316
14;1.855
15;0.882
16;1.587
17;1.075
18;2.179
19;1.749
20;0.957
21;1.240
22;1.586
23;2.507
24;1.864
25;1.281
26;2.137
27;1.282
28;2.097
29;1.871
30;1.315
31;1.034
32;2.095
